ID,RADEG,DECDEG,CLASS,DATATABLE,i,g
B161D,9.4639833,40.1684333,4.0,m31rbcV5,18.082,19.527
SK021B,9.4716875,41.5193889,2.0,m31rbcV5,21.896,24.154
B162D,9.4728833,40.0606278,4.0,m31rbcV5,18.915,20.149
SK022B,9.476291666666668,40.29075,4.0,m31rbcV5,18.559,20.293
B163D,9.4798583,39.8983528,4.0,m31rbcV5,21.423,22.55
dTZZ-06,9.48287,41.30932,1.0,,22.222,23.078
dTZZ-06,9.48287,41.30932,1.0,,22.222,23.078
B423,9.4860917,40.9599889,1.0,m31rbcV5,19.054,19.782
DAO16,9.48865,40.4139111,6.0,m31rbcV5,23.77,25.435
B164D,9.4890333,40.5388417,6.0,m31rbcV5,22.31,22.445
SK052C,9.4921208,41.3935778,2.0,m31rbcV5,22.899,24.241
G020,9.4931417,42.5296056,6.0,m31rbcV5,17.877,18.362
B298,9.5009458,40.7321833,1.0,m31rbcV5,20.232,21.274
SK023B,9.5018917,41.5710667,2.0,m31rbcV5,24.537,25.437
SK053C,9.503166666666663,42.04913888888888,4.0,m31rbcV5,18.863,20.533
SK004A,9.505624999999998,42.068444444444445,6.0,huxor14_table2,18.395,19.264
B299,9.5081667,40.6963806,4.0,m31rbcV5,21.531,22.373
B424,9.5128,39.7563917,4.0,m31rbcV5,18.089,19.533
H12,9.5160417,37.7334972,1.0,m31rbcV5,22.327,23.21
B165D,9.5183833,40.9255917,2.0,m31rbcV5,18.56,19.681
MCEC3,9.5191917,40.7442944,8.0,m31rbcV5,20.603,21.805
SK054C,9.525416666666665,40.40838888888889,6.0,m31rbcV5,21.74,23.443
SK024B,9.5458917,40.6478389,6.0,m31rbcV5,22.263,23.489
SK055C,9.5536792,41.8799778,2.0,m31rbcV5,24.609,25.826
C13,9.55583333333333,29.654166666666665,2.0,di_tullio_zinn_13_table2,22.771,24.032
B166D,9.5567792,40.8573917,4.0,m31rbcV5,22.869,24.134
B425,9.5736708,39.6219972,4.0,m31rbcV5,18.281,18.86
B300,9.5777083,39.66635,4.0,m31rbcV5,17.415,18.842
PA-N185,9.578333333333331,48.367777777777775,1.0,veljanoski13_table2,20.188,21.689
MCEC1,9.5812083,41.7874722,8.0,m31rbcV5,20.806,21.393
B426,9.5825167,41.2418639,6.0,m31rbcV5,23.514,24.879
B301,9.5899208,40.0603222,1.0,m31rbcV5,20.862,22.216
B167D,9.5936667,41.9097389,1.0,m31rbcV5,22.035,22.914
SK056C,9.5938792,40.8492472,2.0,m31rbcV5,18.805,20.107
B427,9.5946292,39.969375,4.0,m31rbcV5,17.98,19.524
B168D,9.6042875,39.6809194,4.0,m31rbcV5,23.61,24.619
B169D,9.606075,39.8686222,4.0,m31rbcV5,18.305,19.532
SDSS2,9.61208333333333,40.20972222222223,4.0,di_tullio_zinn_13_table1,21.409,21.948
E,9.61483,40.65835,1.0,di_tullio_zinn_14_table1,19.583,20.7
B170D,9.6172208,39.7349861,4.0,m31rbcV5,19.013,19.779
2M038,9.6182083,46.1393611,6.0,m31rbcV5,22.856,25.142
PAndAS-30,9.620874999999998,37.97755833333333,1.0,huxor14_table1,21.637,22.254
dTZZ-08,9.63313,39.86855,1.0,,21.556,23.009
dTZZ-08,9.63313,39.86855,1.0,,21.556,23.009
B302,9.6395833,41.3478583,1.0,m31rbcV5,17.741,18.428
H13,9.6401792,41.74805,1.0,m31rbcV5,19.19,19.822
HEC6,9.6483292,44.2802806,8.0,m31rbcV5,21.478,22.963
B428,9.651025,40.7504583,4.0,m31rbcV5,20.388,21.554
B171D,9.6558708,40.6552694,4.0,m31rbcV5,19.989,21.092
SK036D,9.6578333,41.3885833,6.0,m31rbcV5,22.764,23.697
B429,9.6612417,41.1530472,4.0,m31rbcV5,18.164,19.512
B172D,9.6759708,40.20335,6.0,m31rbcV5,23.292,23.608
FJJ-I,9.677916666666668,48.31122222222222,1.0,veljanoski13_table2,18.774,19.78
B430,9.6787958,41.7335194,6.0,m31rbcV5,23.569,24.334
SK057C,9.6813792,41.9774194,2.0,m31rbcV5,19.476,21.171
B173D,9.6822375,40.6963167,4.0,m31rbcV5,19.431,20.587
SK025B,9.6832625,40.4166361,6.0,m31rbcV5,19.806,20.867
B174D,9.6992333,40.6848917,4.0,m31rbcV5,21.852,23.586
FJJ-II,9.700416666666667,48.30441666666666,1.0,veljanoski13_table2,19.307,20.31
SK058C,9.701666666666666,40.05033333333333,4.0,m31rbcV5,19.135,20.5
B175D,9.701775,40.0756667,4.0,m31rbcV5,18.157,19.654
SK026B,9.7029208,40.5219694,6.0,m31rbcV5,22.341,22.881
MCGC7,9.7058708,42.3796889,1.0,m31rbcV5,19.345,20.364
B303,9.7105292,40.4586,1.0,m31rbcV5,22.504,23.669
B176D,9.7214667,41.4841722,6.0,m31rbcV5,23.313,24.419
SK059C,9.7239083,40.6417611,6.0,m31rbcV5,21.614,23.596
DAO22,9.7240417,39.8584861,4.0,m31rbcV5,18.53,19.817
SK060C,9.7245708,40.6442389,2.0,m31rbcV5,23.38,24.901
C003,9.725875,40.4428333,2.0,m31rbcV5,23.106,24.506
DAO23,9.7264,40.4462306,6.0,m31rbcV5,23.106,24.506
B431,9.7282125,40.5823139,1.0,m31rbcV5,19.044,19.252
SH05,9.7300417,41.174675,9.0,m31rbcV5,24.184,24.933
B177D,9.7339083,40.0541,6.0,m31rbcV5,23.485,24.602
B304,9.73725,41.1745583,1.0,m31rbcV5,21.039,22.666
B305,9.7455083,40.2754944,1.0,m31rbcV5,19.25,19.88
SK005A,9.7464667,41.6742583,1.0,m31rbcV5,25.072,25.907
B432,9.7465083,41.7210667,4.0,m31rbcV5,19.548,20.36
SK061C,9.7466208,41.7329306,2.0,m31rbcV5,21.313,23.28
dTZZ-09,9.7531,41.23024,1.0,,20.031,20.976
dTZZ-09,9.7531,41.23024,1.0,,20.031,20.976
SK062C,9.7551417,42.0651944,2.0,m31rbcV5,18.892,20.494
C044,9.756625,41.7202528,4.0,m31rbcV5,21.094,21.937
B433,9.7603875,40.0027917,4.0,m31rbcV5,18.762,20.231
FJJ-III,9.765833333333337,48.332638888888894,1.0,veljanoski13_table2,20.91,21.994
LAMOST-C06,9.77655,41.91114,6.0,,21.511,23.474
LAMOST-C06,9.77655,41.91114,6.0,,21.511,23.474
SK063C,9.7810833,40.6701389,2.0,m31rbcV5,19.318,19.474
B306,9.7862792,40.5725583,1.0,m31rbcV5,20.899,22.826
